SampleID	Sample_ID	SampleLoc	Time	PlacementDay	CollectionDate	FieldSample_ID	CADD	Simplified_ID	Donor_ID	Date_extracted	Extractor	Color_of_sample	DNA	260:280	260:230		
FR040	s1t-gA	Gut	1	10/29/2018	10/29/2018	s1t-gA	0	s1-gA	18-006	3/1/2019	RS	darker_tan_brown_w/green_tinge	36.9	1.85	1.71		
FR041	s2t-mA	Mouth	2	10/29/2018	10/30/2018	s2t-mA	12.87	s2-mA	18-006	3/11/2019	"LE,_RJ"	clearish_white	1.2	2.03	0.21		
FR042	s2t-gA	Gut	2	10/29/2018	10/30/2018	s2t-gA	12.87	s2-gA	18-006	3/11/2019	"LE,_RJ"	clearish_brown	7.2	1.71	0.61		
FR043	s3t-mA	Mouth	3	10/29/2018	10/31/2018	s3t-mA	19.09	s3-mA	18-006	3/11/2019	RJ	clearish/colorless	2.2	1.84	0.72		
FR044	s3t-gA	Gut	3	10/29/2018	10/31/2018	s3t-gA	19.09	s3-gA	18-006	3/11/2019	RJ	golden_brown;_chunky	43.9	1.82	1.69		
FR045	s4t-mA	Mouth	4	10/29/2018	11/1/2018	s4t-mA	23.05	s4-mA	18-006	3/11/2019	RS	clearish_white	6.2	1.54	0.55		
FR046	s4t-gA	Gut	4	10/29/2018	11/1/2018	s4t-gA	23.05	s4-gA	18-006	3/11/2019	RS	pale_clearish_yellow	8.7	1.87	1.26		
FR047	s5t-mA	Mouth	5	10/29/2018	11/2/2018	s5t-mA	26.83	s5-mA	18-006	3/11/2019	RS	clearish_white	4.2	1.53	0.65		
FR048	s5t-gA	Gut	5	10/29/2018	11/2/2018	s5t-gA	26.83	s5-gA	18-006	3/11/2019	RS	pale_clearish_yellow	12.5	1.77	1.29		
FR049	s6t-mA	Mouth	6	10/29/2018	11/3/2018	s6t-mA	29.94	s6-mA	18-006	3/15/2019	RS	clearish_white	2.7	1.4	0.45		
FR050	s6t-gA	Gut	6	10/29/2018	11/3/2018	s6t-gA	29.94	s6-gA	18-006	3/15/2019	RS	clearish_dark_yellow/urine	11.8	1.7	1.26		
FR051	s8t-mA	Mouth	8	10/29/2018	11/5/2018	s8t-mA	39.72	s8-mA	18-006	3/15/2019	RS	cloudy_white;_floaty_swirls	16.3	1.78	1.52		
FR052	s8t-gA	Gut	8	10/29/2018	11/5/2018	s8t-gA	39.72	s8-gA	18-006	3/15/2019	RS	clearish_dark_yellow/urine;_chunky_bits	10.1	1.69	1.38		
FR053	s9t-mA	Mouth	9	10/29/2018	11/6/2018	s9t-mA	44.67	s9-mA	18-006	3/15/2019	RS	clearish_white	1.3	1.37	0.39		
FR054	s9t-gA	Gut	9	10/29/2018	11/6/2018	s9t-gA	44.67	s9-gA	18-006	3/15/2019	RS	clearish_golden_yellow_(darker_than_other_gut_samples_from_the_day);_chunky_bits	1.1	1.28	0.36		
FR055	s10t-mA	Mouth	10	10/29/2018	11/7/2018	s10t-mA	46.85	s10-mA	18-006	3/19/2019	RS	clearish_white	3	1.73	0.55		
FR056	s10t-gA	Gut	10	10/29/2018	11/7/2018	s10t-gA	46.85	s10-gA	18-006	3/19/2019	RS	slight_green_brown	26.4	1.85	1.72		
FR057	s12t-mA	Mouth	12	10/29/2018	11/9/2018	s12t-mA	46.9	s12-mA	18-006	3/19/2019	RS	clearish_white	5.6	1.58	1.01		
FR058	s12t-gA	Gut	12	10/29/2018	11/9/2018	s12t-gA	46.9	s12-gA	18-006	3/19/2019	RS	clearish_tan-green;_small_greenish_chunks	13.2	1.82	1.7		
FR059	s13t-mA	Mouth	13	10/29/2018	11/10/2018	s13t-mA	46.92	s13-mA	18-006	3/19/2019	RS	clearish_white	4.5	2.01	1.22		
FR060	s13t-gA	Gut	13	10/29/2018	11/10/2018	s13t-gA	46.92	s13-gA	18-006	3/19/2019	RS	clearish_tan-green;_small_greenish_chunks	16	1.8	1.13		
